Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
17,1,0.7495475748173284,0.009209891578449165,31.117945623397826,2.4591382390241563,2.286014986038208,0.225618547518098,SAMME.R,1,450,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 450}",0.751448808757244,0.7659088022354883,0.7393563101875317,0.7426508509541,0.7483731019522777
16,2,0.7465833501507262,0.008840034713062533,22.306708526611327,2.2795381093352995,1.6155569076538085,0.2540903057043849,SAMME.R,1,300,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 300}",0.7462783171521037,0.7618202560527316,0.7358201328564129,0.7403796151846075,0.7486184295077754
15,3,0.742175899649619,0.008637888789501754,13.230139589309692,0.13110444314933623,0.971834373474121,0.018505988287042266,SAMME.R,1,200,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",0.742657523612369,0.7569187603621986,0.7314102564102565,0.7360966735966736,0.7437962842665973
14,4,0.7309682101531083,0.009856380970946162,31.923675107955933,2.703856620914415,2.532748556137085,0.5110693084732074,SAMME.R,0.1,450,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 450}",0.7240569296669891,0.7490889458766365,0.7219827586206896,0.7262228260869567,0.73348959051427
13,5,0.7292664154204673,0.009149592055325879,20.769066286087035,1.0397643465761557,1.5692389965057374,0.1286919260507531,SAMME.R,0.1,300,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 300}",0.7225108833029068,0.7457882481851801,0.7226456178551987,0.7226347634763476,0.7327525642827034
12,6,0.7269597007645466,0.008989967747044483,13.926139211654663,0.3296225787205997,1.0090272903442383,0.02402302211944213,SAMME.R,0.1,200,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}",0.7200752641482124,0.7426585331252661,0.7183257918552036,0.7226452340665538,0.7310936806274975
8,7,0.7235252523905217,0.007578354202338984,33.10798554420471,0.7126703411415711,2.2110920906066895,0.11058533124991289,SAMME,1,450,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 450}",0.7200921284378811,0.737200908969389,0.7154171066525872,0.7192699946323134,0.7256461232604375
5,8,0.7226622063757665,0.00563875170007715,35.57400102615357,1.461077653443403,2.6178058624267577,0.6302648011647006,SAMME,0.1,450,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 450}",0.713841851794314,0.7295069217607714,0.7219419924337959,0.7201257861635222,0.727894479726429
7,9,0.7199793391630211,0.0073297351502909945,25.573990774154662,1.767211921066586,1.7432756423950195,0.18624179761216603,SAMME,1,300,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 300}",0.7128364669281753,0.7323604230820726,0.7143802966101696,0.7161039657020365,0.7242155434926519
6,10,0.7188270932903842,0.009265603167883175,15.326001501083374,0.4085646431308506,1.056019163131714,0.03734175890209234,SAMME,1,200,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 200}",0.7115251897860593,0.7339201083276913,0.7104700854700854,0.7128594249201278,0.7253606579479573
4,11,0.7159860034694108,0.005429449403721142,23.769306898117065,0.6541933000371402,1.585658025741577,0.18628027764427887,SAMME,0.1,300,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 300}",0.7118589225044492,0.7228530305453381,0.7145171743357096,0.7090163934426229,0.7216844965189336
3,12,0.703788213553839,0.007305590509378016,14.076986122131348,1.372854023997517,0.9310099601745605,0.06201332760343382,SAMME,0.1,200,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 200}",0.6956092747903305,0.7128826321820266,0.697296372347707,0.7011191573403555,0.7120336311087755
11,13,0.7014399497171014,0.006800901066483338,36.089568853378296,3.6048355671854697,2.9277453899383543,0.6010539153449778,SAMME.R,0.01,450,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 450}",0.6960204570880614,0.7103653755684491,0.6968529222864482,0.694888178913738,0.7090728147288107
10,14,0.6943644938567589,0.008934975096467856,25.03952865600586,0.9007798780185399,2.008855628967285,0.23478613910776455,SAMME.R,0.01,300,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 300}",0.688550840672538,0.7092421151733878,0.6910239792611795,0.6838709677419355,0.6991345664347531
9,15,0.5899691230906552,0.11194031867663978,17.233723831176757,2.22839383841522,1.294636344909668,0.1445219669046272,SAMME.R,0.01,200,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 200}",0.6764272861115656,0.6905721192586624,0.6758096497025776,0.4685338865836791,0.4385026737967914
0,16,0.4644438386279348,0.014390918780844987,15.866047239303589,1.095432677604863,1.0864555358886718,0.05059652975624937,SAMME,0.01,200,"{'algorithm': 'SAMME', 'learning_rate': 0.01, 'n_estimators': 200}",0.46815834767642,0.4618333914255839,0.48403532608695654,0.4685338865836791,0.43965824136703446
2,17,0.46304200446309374,0.014739384385619475,34.39018797874451,3.6925056762499406,2.2831757068634033,0.14611396963127218,SAMME,0.01,450,"{'algorithm': 'SAMME', 'learning_rate': 0.01, 'n_estimators': 450}",0.46599930963065245,0.4585229261463073,0.48365122615803813,0.4685338865836791,0.4385026737967914
